,Image,Artist,Work,CP Hex1,CP Hex2,CP Hex3,CP Hex4,CP Hex5,CP Hex6,Image_Category,Unique_Color
72,https://en.most-famous-paintings.com/Art.nsf/O/8YDPYD/$File/Vincent-Van-Gogh-The-Potato-Eaters-S.jpg,Vincent Van Gogh, The Potato Eaters ,#171b26,#7e7a6c,#5d6663,#39382e,#28312d,#322c31,Blackish,#7c3935
73,https://en.most-famous-paintings.com/Art.nsf/O/8XY3LT/$File/Jean-Frederic-Bazille-Bathers-Summer-Scene--S.JPG,Jean Frederic Bazille, Bathers ,#556f3e,#5c7c80,#af996e,#3d341a,#88aed9,#200f11,Brownish,#e73824
74,https://en.most-famous-paintings.com/Art.nsf/O/8XYG7R/$File/Lucian-Freud-Reflection-with-Two-Children-Self-Portrait--S.jpg,Lucian Freud, Reflection with Two Children ,#7c8169,#303224,#7f8a7b,#646a47,#95a09a,#a8a381,White-ish,
75,https://en.most-famous-paintings.com/Art.nsf/O/8XYQUW/$File/Pavel-Filonov-Peasant-Family-S.JPG,Pavel Filonov, Peasant Family ,#b2682f,#7c320d,#1f0407,#381606,#dfbb83,#494a30,Brownish,#f7492f
76,https://en.most-famous-paintings.com/Art.nsf/O/8XXEM9/$File/Claude-Monet-Grainstack-in-the-Morning-Snow-Effect-S.JPG,Claude Monet," Grainstack in the Morning, Snow Effect ",#6a749d,#623e26,#b7b9cb,#b2a794,#492c37,#9b9098,Brownish,#cc493d
77,https://en.most-famous-paintings.com/Art.nsf/O/8XYP3E/$File/Pablo-Picasso-Portrait-of-Maya-with-her-doll-S.JPG,Pablo Picasso, Portrait of Maya with her doll ,#dcd9dd,#243256,#e3dfdc,#41331d,#2e1015,#8e9fa5,Blueish,#b94c6e
78,https://en.most-famous-paintings.com/Art.nsf/O/8XYUQC/$File/Robert-Delaunay-The-City-of-Paris-S.JPG,Robert Delaunay, The City of Paris ,#dee8f0,#435562,#9aa8b9,#e8e2db,#96756d,#6d555d,Blueish,#b00437
79,https://en.most-famous-paintings.com/Art.nsf/O/5ZKGPV/$File/Vincent-Van-Gogh-Skull-with-Burning-Cigarette-S.jpg,Vincent Van Gogh, Skull with Burning Cigarette ,#151610,#7f6c4a,#b09b72,#4e4329,#252010,#151717,Brownish,
80,https://en.most-famous-paintings.com/Art.nsf/O/5ZKBGL/$File/Sandro_Botticelli-The_Birth_of_Venus-S.JPG,Sandro Botticelli, The Birth of Venus ,#ccca9f,#24251e,#9b8c67,#3f5149,#69543e,#80a891,Yellowish,#c4392a
81,https://en.most-famous-paintings.com/Art.nsf/O/8Y3CDM/$File/Matthias-Grunewald-The-Mocking-of-Christ-2--S.JPG,Matthias Grünewald, The Mocking of Christ ,#1c1a12,#af8f74,#805f4d,#d7bc9f,#47382d,#736d70,Brownish,#d82105
82,https://en.most-famous-paintings.com/Art.nsf/O/8YE3F4/$File/Vincent-Van-Gogh-The-Street-the-Yellow-House-S.JPG,Vincent Van Gogh," The Street, the Yellow House ",#203850,#dcd162,#877731,#37361b,#bcad49,#274a79,Yellowish,#6bb52d
83,https://en.most-famous-paintings.com/Art.nsf/O/6WHKED/$File/Edvard-Munch-Near-the-bed-of-death-fever-1915--S.JPG,Edvard Munch, Near the bed of death ,#3e3529,#c4b87c,#3e4738,#8d7149,#6e8365,#413133,Redish,
84,https://en.most-famous-paintings.com/Art.nsf/O/6WHKZN/$File/Gustave-Caillebotte-Paris-street-Rainy-Day-2--S.JPG,Gustave Caillebotte," Paris street, Rainy Day ",#ecf2d5,#1c1605,#cdd0b4,#464316,#7b6f3d,#969e82,Greenish,
85,https://en.most-famous-paintings.com/Art.nsf/O/5ZKGY4/$File/Vincent-Van-Gogh-Young-Man-with-Cornflower-S.JPG,Vincent Van Gogh, Young Man with Cornflower ,#1d2311,#563813,#cc8e2b,#a26923,#36442e,#7e551c,Brownish,
86,https://en.most-famous-paintings.com/Art.nsf/O/8XYGKZ/$File/Marc-Chagall-I-and-the-Village-S.JPG,Marc Chagall, I and the Village ,#c9c4b9,#2a3739,#cbd0d5,#7b5c52,#805159,#6b7e85,White-ish,#b83301
87,https://en.most-famous-paintings.com/Art.nsf/O/8XXUY5/$File/Ernst-Ludwig-Kirchner-Five-Bathing-Women-at-a-Lake-S.JPG,Ernst Ludwig Kirchner, Five Bathing Women at a Lake ,#c59c71,#60523f,#efcb9f,#8a7356,#ccc8ca,#faf9ee,Brownish,
88,https://en.most-famous-paintings.com/Art.nsf/O/8XY4GZ/$File/Georgios-Jakobides-First-Steps-S.jpg,Georgios Jakobides, First Steps ,#0c100a,#a39987,#695e4e,#d7c9b1,#393428,#0a0f0e,Brownish,
89,https://en.most-famous-paintings.com/Art.nsf/O/5ZKEKR/$File/Rene-Magritte-False-Mirror-S.JPG,Rene Magritte, False Mirror ,#a08569,#2c0c13,#c0e2f2,#582f26,#64a5de,#5e6b7a,Blueish,#b24437
90,https://en.most-famous-paintings.com/Art.nsf/O/8XYV5Q/$File/Salvador-Dali-Cubist-Self-portrait-S.JPG,Salvador Dali, Cubist Self-portrait ,#707b70,#ceb88b,#77674b,#4b3f2f,#4e4449,#a08f6a,Brownish,#e18360
91,https://en.most-famous-paintings.com/Art.nsf/O/6WHL6U/$File/Jan-Vermeer-The-Astronomer-S.jpg,Jan Vermeer, The Astronomer ,#222028,#624b35,#9c7d53,#25181e,#342821,#e0bd7f,Brownish,#7c354e
92,https://en.most-famous-paintings.com/Art.nsf/O/8XYHEB/$File/Marcel-Duchamp-Nude-Descending-a-Staircase-No.2-S.jpg,Marcel Duchamp," Nude Descending a Staircase, No.2 ",#16181d,#c5c1b3,#7d786b,#2a2327,#332f2a,#888588,Redish,
